issuer,card_name,annual_fee_usd,reward_type,reward_structure_core,notable_credits_perks,category_tags,est_recommended_fico,reward_category_map
American Express,American Express Gold Card,325,points,4x restaurants; 4x US supermarkets; 3x flights; 1x other,$120 dining credit; $120 Uber Cash,dining;groceries;travel_air;rideshare,670+,4x:dining;4x:groceries;3x:air_travel;1x:other;120usd_credit:dining;120usd_credit:rideshare
American Express,Blue Cash Preferred,95,cashback,6% U.S. supermarkets; 6% U.S. streaming; 3% gas; 3% transit; 1% other,$0 intro annual fee first year,groceries;streaming;gas;transit,670+,6x:groceries;6x:streaming;3x:gas;3x:transit;1x:other
Chase,Chase Sapphire Preferred,95,points,5x travel via Chase Travel; 3x dining; 3x online groceries; 3x streaming; 2x travel; 1x other,$50 hotel credit; 10% anniversary bonus,travel;dining;groceries_online;streaming,690+,5x:travel_portal;3x:dining;3x:groceries_online;3x:streaming;2x:travel;1x:other;50usd_credit:hotel
Chase,Chase Sapphire Reserve,550,points,10x hotels & car rentals via portal; 10x dining via portal; 3x travel & dining; 1x other,$300 annual travel credit; Priority Pass,travel;dining;luxury_travel,720+,10x:travel_portal;10x:dining_portal;3x:travel;3x:dining;1x:other;300usd_credit:travel
Chase,Chase Freedom Flex,0,cashback,5% rotating categories; 5% travel via Chase Travel; 3% dining; 3% drugstores; 1% other,Cellphone protection,rotating_5pct;dining;drugstores;travel,690+,5x:rotating;5x:travel_portal;3x:dining;3x:drugstores;1x:other
Discover,Discover it Cash Back,0,cashback,5% rotating categories; 1% other,Cashback Match 1st year,rotating_5pct;general_spend,670+,5x:rotating;1x:other
Capital One,Capital One Venture Rewards,95,points,2x all purchases; 5x hotels & car rentals via portal,Global Entry/TSA PreCheck credit,travel_general;general_spend,700+,2x:all_spend;5x:travel_portal;100usd_credit:tsa_precheck
Capital One,Capital One Venture X,395,points,10x hotels & rental cars via portal; 5x flights; 2x all spend,$300 travel credit; lounge access,travel;luxury_travel;general_spend,720+,10x:travel_hotel;5x:air_travel;2x:all_spend;300usd_credit:travel
Wells Fargo,Wells Fargo Active Cash,0,cashback,2% cash rewards on all purchases,Cellphone protection,general_spend,690+,2x:all_spend
Wells Fargo,Wells Fargo Autograph,0,points,3x restaurants; 3x travel; 3x gas; 3x transit; 3x streaming; 3x phone plans; 1x other,Cellphone protection,dining;travel;gas;transit;streaming;cell_phone,690+,3x:dining;3x:travel;3x:gas;3x:transit;3x:streaming;3x:cell_phone;1x:other
Citi,Citi Strata Premier,95,points,"3x air travel, hotels, dining, supermarkets, gas; 1x other",$100 hotel credit,travel_air;dining;groceries;gas;travel_hotel,670+,3x:air_travel;3x:travel_hotel;3x:dining;3x:groceries;3x:gas;1x:other;100usd_credit:hotel
Citi,Citi Double Cash,0,cashback,2% back (1% buy + 1% pay),Pairs with Strata Premier,general_spend,690+,2x:all_spend
U.S. Bank,U.S. Bank Cash+ Visa Signature,0,cashback,5% in two chosen categories; 2% in one everyday category; 1% other,User-selected categories,rotating_5pct;utilities;streaming;cell_phone;gas;dining;groceries,690+,5x:user_choice;2x:everyday_choice;1x:other
Bank of America,BofA Customized Cash Rewards,0,cashback,3% in chosen category; 2% grocery & wholesale clubs; 1% other,Preferred Rewards boosts,flexible_3pct;groceries;gas;online_shopping,690+,3x:user_choice;2x:groceries;2x:wholesale_clubs;1x:other
Chase/Amazon,Prime Visa (Amazon Prime),0,cashback,"5% Amazon & Whole Foods; 2% dining, gas, transit; 1% other",Prime membership required,amazon;groceries;gas;dining;transit,690+,5x:amazon;5x:amazon_groceries;2x:dining;2x:gas;2x:transit;1x:other
Apple/Goldman Sachs,Apple Card,0,cashback,3% Apple & select merchants; 2% Apple Pay; 1% physical card,Daily cash; no fees,apple_eco;mobile_wallet;general_spend,670+,3x:apple;2x:mobile_wallet;1x:other
American Express/Delta,Delta SkyMiles Gold Amex,150,points,"2x Delta, dining, U.S. supermarkets; 1x other",Free bag; 15% award discount,airline_delta;dining;groceries,690+,2x:airline_delta;2x:dining;2x:groceries;1x:other;free_bag:airline
American Express/Delta,Delta SkyMiles Platinum Amex,350,points,3x Delta; 3x hotels; 2x dining & supermarkets; 1x other,Companion certificate; free bag,airline_delta;travel_hotel;dining;groceries,720+,3x:airline_delta;3x:travel_hotel;2x:dining;2x:groceries;1x:other;companion_cert:airline;free_bag:airline
Barclays/JetBlue,JetBlue Plus Card,99,points,6x JetBlue; 2x dining; 2x groceries; 1x other,Free bag; 5k anniversary bonus,airline_jetblue;dining;groceries,690+,6x:airline_jetblue;2x:dining;2x:groceries;1x:other;free_bag:airline;5000pts:anniversary
American Express,American Express Platinum Card,695,points,5x flights; 5x prepaid hotels; 1x other,$200 airline credit; $200 hotel credit; $200 Uber Cash; Priority Pass; Global Entry,luxury_travel;travel_air;travel_hotel;rideshare,720+,5x:air_travel;5x:travel_hotel;1x:other;200usd_credit:airline_fees;200usd_credit:hotel;200usd_credit:rideshare;100usd_credit:global_entry
American Express,American Express Green Card,150,points,3x travel; 3x dining; 1x other,$100 CLEAR credit; $100 LoungeBuddy credit,travel;dining,670+,3x:travel;3x:dining;1x:other;100usd_credit:clear;100usd_credit:loungebuddy
American Express,Blue Cash Everyday,0,cashback,3% U.S. supermarkets; 3% U.S. gas; 3% U.S. online retail; 1% other,$84 Disney Bundle credit,groceries;gas;online_shopping,670+,3x:groceries;3x:gas;3x:online_shopping;1x:other;84usd_credit:streaming
Chase,Chase Freedom Unlimited,0,cashback,5% travel via Chase Travel; 3% dining; 3% drugstores; 1.5% other,Intro APR promos,travel;dining;drugstores;general_spend,690+,5x:travel_portal;3x:dining;3x:drugstores;1.5x:other
Capital One,Capital One Savor Cash Rewards,95,cashback,4% dining; 4% entertainment; 3% streaming; 3% grocery stores; 1% other,No foreign transaction fees,dining;entertainment;streaming;groceries,700+,4x:dining;4x:entertainment;3x:streaming;3x:groceries;1x:other
Capital One,Capital One Savor Student Cash Rewards,0,cashback,3% dining; 3% entertainment; 3% grocery stores; 1% other,Student card,dining;entertainment;groceries,670+,3x:dining;3x:entertainment;3x:groceries;1x:other
Capital One,Capital One Quicksilver Cash Rewards,0,cashback,1.5% cash back on all purchases,No foreign transaction fees,general_spend,670+,1.5x:all_spend
Citi,Citi Strata Elite,450,points,5x air travel; 5x hotels; 3x dining; 3x cruise lines; 1x other,$250 travel credit; Priority Pass,luxury_travel;travel_air;travel_hotel;dining,720+,5x:air_travel;5x:travel_hotel;3x:dining;3x:cruise;1x:other;250usd_credit:travel
U.S. Bank,U.S. Bank Shopper Cash Rewards,0,cashback,6% at chosen retailers; 3% in chosen categories; 1% other,Rotating retailer list,retail;user_choice,690+,6x:user_choice_retail;3x:user_choice;1x:other
U.S. Bank,U.S. Bank Altitude Go,0,points,4x dining; 2x grocery; 2x gas; 2x transit; 2x streaming; 1x other,$15 streaming credit,dining;groceries;gas;transit;streaming,690+,4x:dining;2x:groceries;2x:gas;2x:transit;2x:streaming;1x:other;15usd_credit:streaming
U.S. Bank,U.S. Bank Altitude Reserve,400,points,5x flights; 3x travel; 1x other,$325 travel credit; Priority Pass,luxury_travel;travel_air;travel,720+,5x:air_travel;3x:travel;1x:other;325usd_credit:travel
PayPal,PayPal Cashback Mastercard,0,cashback,3% PayPal purchases; 2% other purchases,No annual fee,online_shopping;general_spend,670+,3x:paypal;2x:all_spend
Discover,Discover it Chrome,0,cashback,2% gas & restaurants; 1% other,Cashback Match first year,gas;dining;general_spend,670+,2x:gas;2x:dining;1x:other
Chase,United Explorer Card,95,points,2x United purchases; 2x dining; 2x hotels; 1x other,Free checked bag; Priority Boarding,airline_united;dining;travel_hotel,700+,2x:airline_united;2x:dining;2x:travel_hotel;1x:other;free_bag:airline
Bilt,Bilt Mastercard,0,points,3x dining; 2x travel; 1x other; rent earns points,Rent Day 2x points; no foreign transaction fees,dining;travel;rent,680+,3x:dining;2x:travel;1x:other;1x:rent
American Express,American Express Centurion Card,5000,points,5x flights booked via AmexTravel; 1x other,Centurion concierge; hotel status; premium travel services,luxury_travel;travel_air;general_spend,Invite-only,5x:air_travel;1x:other
Citi,Citi Custom Cash,0,cashback,5% on top eligible category (up to $500/mo); 1% other,Auto category selection,user_choice;dining;groceries;gas;drugstores;home_improvement;transit;streaming;travel,690+,5x:top_category;1x:other
